#--------------------------------------------------------------
   193    0.656    0.372  106.933 
   194    1.838    0.388   88.660 
   195    1.260    0.381  103.455 
   196    1.729    0.381  107.212 
   197    0.684    0.366  124.339 
   198    0.839    0.359  100.178 
   199    0.782    0.369  124.544 
   200   -1.207    0.392   83.752 
   201   -0.749    0.373  109.347 
   202   -0.100    0.369  117.447 
   203   -0.657    0.382  102.679 
   204   -0.513    0.370  121.333 
   205   -0.139    0.362  121.530 
   206   -0.106    0.377  124.367 
   207    0.078    0.377  107.899 
   208    0.100    0.374  118.882 
   209    0.565    0.379  105.999 
   210    0.200    0.372  101.447 
   211    1.117    0.383  104.287 
   212    0.798    0.374  123.211 
   213   -0.167    0.386   97.525 
   214    0.876    0.372  119.410 
   215   -0.224    0.380   98.503 
   216   -0.541    0.383  118.943 
   217   -1.609    0.366  150.256 
   218   -0.316    0.359  134.230 
   219   -1.595    0.398  107.268 
   220   -0.739    0.369  145.382 
   221   -0.337    0.372  129.208 
   222   -0.845    0.375  126.142 
   223    0.344    0.396  116.809 
   224    1.214    0.375  128.564 
   225    0.614    0.375  127.781 
   226    1.265    0.386  123.256 
   227    1.321    0.375  130.428 
   228    0.487    0.368  130.691 
   229    0.461    0.396  121.460 
   230   -0.075    0.383  134.278 
   231   -0.689    0.386  135.932 
   232   -0.217    0.390  120.908 
   233   -0.059    0.376  122.687 
   234   -0.759    0.374  125.627 
   235   -0.862    0.382  126.464 
   236   -0.865    0.372  135.021 
   237   -0.609    0.370  163.932 
   238   -0.063    0.379  126.386 
   239    0.223    0.377  151.589 
   240    0.362    0.390  127.204 
   241    0.218    0.386  144.608 
   242    0.883    0.381  144.293 
   243    0.333    0.378  149.181 
   244    0.965    0.376  135.595 
   245    0.008    0.362  148.137 
   246   -0.490    0.390  134.532 
   247   -0.154    0.382  130.069 
   248   -2.384    0.373  118.609 
   249   -1.703    0.380  114.291 
   250   -2.316    0.381   98.076 
   251   -1.889    0.382   97.841 
   252   -1.631    0.375  103.954 
   253   -1.127    0.377   92.402 
   254   -0.116    0.381  113.044 
   255    0.657    0.369  113.236 
   256    2.081    0.368  128.799 
   257    1.651    0.370  115.543 
   258    2.229    0.372  113.922 
   259    2.589    0.367  126.931 
   260    1.463    0.379  113.615 
   261    2.005    0.381  104.516 
   262    1.674    0.380  119.972 
   263    0.593    0.399  121.705 
   264    0.332    0.375  108.875 
   265    0.123    0.377  132.546 
   266   -0.177    0.380  113.993 
   267   -0.060    0.388  111.661 
   268   -0.165    0.372  118.947 
   269   -0.315    0.371  138.941 
   270    0.685    0.373  121.708 
   271    0.839    0.375  132.606 
   272    0.665    0.368  124.903 
   273    0.244    0.383  109.846 
   274    0.886    0.390  107.185 
   275    1.048    0.394  123.179 
   276    1.080    0.380  114.871 
   277    0.903    0.376  125.235 
   278    1.133    0.385  108.563 
   279   -0.075    0.379  138.671 
   280   -0.949    0.375  121.665 
   281   -1.221    0.377  129.251 
   282   -1.304    0.368  125.950 
   283   -1.357    0.372  116.665 
   284   -0.469    0.376  104.176 
   285   -1.010    0.366  119.548 
   286   -0.834    0.375  114.018 
   287   -0.629    0.370   95.917 
   288    0.389    0.386   69.386 
   289   -0.079    0.378   94.340 
   290    0.826    0.374   91.602 
   291    0.710    0.367   90.235 
   292    0.381    0.355   98.067 
   293    0.209    0.364   85.444 
   294   -0.582    0.367   92.660 
   295   -0.351    0.376  101.155 
   296    0.134    0.363  110.456 
   297   -0.643    0.369  114.943 
   298   -0.395    0.378  109.881 
   299   -0.789    0.372  109.340 
   300   -1.040    0.379  119.786 
   301   -1.097    0.378  112.973 
   302   -0.132    0.382  101.884 
   303   -0.479    0.370  116.747 
   304   -0.501    0.368  119.535 
   305    0.506    0.368  140.333 
   306    1.019    0.380  137.984 
   307    1.085    0.373  115.868 
   308   -0.160    0.373  121.258 
   309   -0.506    0.395  128.056 
   310   -0.219    0.377  119.867 
   311   -0.641    0.374  152.989 
   312   -1.315    0.363  138.733 
   313   -1.332    0.375  132.020 
   314   -0.873    0.376  136.891 
   315   -1.771    0.380  124.755 
   316   -1.807    0.393  143.057 
   317   -1.126    0.385  135.545 
   318   -0.243    0.370  144.192 
   319    0.568    0.372  154.122 
   320    1.198    0.386  120.793 
   321    0.433    0.381  143.400 
   322    1.249    0.381  114.344 
   323    1.862    0.372  134.204 
   324    1.227    0.375  112.236 
   325    1.055    0.387  117.517 
   326    0.396    0.388  110.033 
   327    0.842    0.374  121.460 
   328    0.663    0.377  118.965 
   329   -0.049    0.375  134.307 
   330    0.357    0.375   98.073 
   331    0.381    0.376  114.738 
   332    0.089    0.381  123.725 
   333   -0.023    0.373  118.422 
   334    0.499    0.383  121.247 
   335    0.831    0.374  108.216 
   336   -0.233    0.384  100.500 
   337    0.537    0.381   97.737 
   338    1.305    0.375  107.792 
   339    0.398    0.389  119.339 
   340    0.180    0.379  112.629 
   341    0.699    0.385  110.411 
   342   -0.049    0.384  118.170 
   343    0.423    0.377  115.373 
   344   -0.677    0.389  121.387 
   345   -1.514    0.375  120.706 
   346   -0.871    0.386  110.846 
   347   -1.578    0.378  119.557 
   348   -0.790    0.379   94.734 
   349   -0.353    0.377  108.118 
   350   -0.033    0.395  106.551 
   351    0.063    0.450  213.792 
   352    0.483    0.479  230.425 
   353    0.917    0.470  203.529 
   354    1.102    0.447  270.359 
   355    0.598    0.460  244.844 
   356    0.894    0.464  220.146 
   357    0.763    0.456  213.096 
   358    0.314    0.472  207.410 
   359    0.814    0.466  236.905 
   360   -0.655    0.483  213.975 
   361   -0.858    0.469  230.311 
   362   -0.884    0.486  213.830 
   363    0.205    0.473  246.430 
   364   -1.204    0.488  244.919 
   365   -0.624    0.482  236.742 
   366   -0.281    0.471  246.400 
   367   -0.429    0.473  258.461 
   368    0.654    0.493  235.663 
   369   -0.400    0.508  214.051 
   370    0.248    0.496  192.550 
   371   -0.181    0.502  192.519 
   372    0.310    0.488  240.755 
   373   -0.397    0.510  238.258 
   374   -0.704    0.491  202.804 
   375   -1.252    0.502  200.624 
   376   -1.086    0.478  237.841 
   377   -1.340    0.497  230.077 
   378   -1.945    0.498  222.642 
   379   -2.899    0.501  375.307 
   380   -2.053    0.500  232.187 
   381   -1.149    0.495  222.220 
   382    0.447    0.491  223.781 
   383    0.790    0.497  221.315 
   384    1.512    0.532  204.085 
   385    0.652    0.501  240.962 
   386    1.879    0.499  268.858 
   387    1.462    0.499  251.774 
   388    1.725    0.508  228.843 
   389    1.652    0.505  226.186 
